Station,Highway,Stop,Minutes,Kilometres,TotalKM
7APA,Princes,10,4,2.1,95.2
7APR,Princes,9,6,6.6,93.1
7BN,Pacific,12,6,4,135.7
7C,Princes,6,42,46.7,66.3
7EC,Great Western,2,13,8.4,8.4
7MO,Pacific,11,36,37.3,131.7
7N,Pacific,9,23,18,90.8
7W,Pacific,10,4,3.6,94.4
7X,Great Western,9,11,7.4,40.2
ED,Princes,8,11,7.9,86.5
EEP,Great Western,8,13,7.6,32.8
EI,Great Western,3,6,2.7,11.1
EK,Great Western,7,9,5.1,25.2
ENK,Pacific,4,4,1.3,6.9
ENS,Princes,5,3,1.7,19.6
ENT,Pacific,5,12,5.8,12.7
ENW,Pacific,6,4,2,14.7
EU,Princes,7,13,12.3,78.6
IF,Princes,1,0,0,0
IT,Great Western,10,78,80.7,120.9
KI,Princes,3,15,9.7,16.7
LA,Pacific,1,0,0,0
LC,Great Western,5,4,1.5,16.1
LH,Pacific,14,28,27.7,169.5
LM,Great Western,4,6,3.5,14.6
NE,Pacific,7,12,12.6,27.3
NF,Pacific,3,3,1.5,5.6
NG,Great Western,1,0,0,0
NL,Pacific,8,38,45.5,72.8
NV,Pacific,2,11,4.1,4.1
VEN,Princes,4,3,1.2,17.9
VG,Pacific,13,8,6.1,141.8
VN,Princes,2,15,7,7
WS,Great Western,6,7,4,20.1